text,label,notes
"Olivia Rodrigo's GUTS is getting way too much praise. The songwriting is derivative and the production is bland — people are confusing nostalgia bait for artistry.",opinion,
"Lyrics are massively overvalued in how people judge music. Timbre, melody, and rhythm communicate things words never could.",opinion,
"Phoebe Bridgers is the most overrated artist of the last decade and I'm tired of pretending otherwise. The guitar work is fine, the lyrics are fine — none of it moves me.",opinion,
"Taylor Swift's Eras Tour was a cultural reset and I don't think people fully appreciate what she pulled off logistically and artistically.",opinion,
"Streaming has genuinely ruined the album format. Artists optimize for singles now and it shows.",opinion,
"Auto-tune stopped being a tool and became a crutch somewhere around 2015 and music has been worse for it.",opinion,
"The Beatles are overrated specifically because of how they've been mythologized. They were great, not untouchable.",opinion,
"Kendrick Lamar's 'To Pimp a Butterfly' is the most important rap album of the 21st century and it isn't close.",opinion,
"Music festivals have become fashion events with background noise. Nobody is actually there to listen.",opinion,
"Hip-hop died the moment it became the dominant commercial format. Mainstream success always kills edge.",opinion,
"Beyoncé's Renaissance is a better pop album than anything released in the last ten years. Full stop.",opinion,
"The 1975 peaked with their first album and everything since has been self-indulgent bloat.",opinion,
"Frank Ocean's Blonde is not as deep as people think. It's a vibes album and it gets a pass because of who made it.",opinion,
"SZA is the best R&B artist working right now and it's not debatable.",opinion,
"Guitar music is not dying — it's just no longer the default, and that's fine. People need to stop mourning it.",opinion,
"Chappell Roan is the most interesting pop artist to emerge in years. She actually has a point of view.",opinion,
"Drake hasn't made a genuinely great album since Take Care. Everything after is product.",opinion,
"Lana Del Rey's Born to Die era was her creative peak and the later albums are too self-referential.",opinion,
"The grunge era produced more lasting music in five years than pop has produced in thirty.",opinion,
"People who say they 'don't listen to mainstream music' are just gatekeeping dressed up as taste.",opinion,
"Radiohead's Kid A is overrated. OK Computer is the actual masterpiece and it never gets its flowers relative to Kid A discourse.",opinion,
"Billie Eilish's second album is dramatically better than her first and people haven't fully caught up to that yet.",opinion,
"Country music has always been about identity performance more than actual craft, and the recent pop-country crossover just makes that obvious.",opinion,
"Bon Iver invented an entire aesthetic and then spent the rest of his career retreating from it.",opinion,
"Doja Cat is a better pure pop craftsperson than most people give her credit for. The discourse focuses on drama and misses the music.",opinion,
"Let's Talk: Saturday Night Fever, The Bee Gees, and Disco Demolition Night — what do we actually think about that moment in music history?",discussion,
"Alright everybody — please break down Deftones for me. Where do they fit, why do people love them, what should I listen to first?",discussion,
"Let's settle this: Rumours is the greatest album ever made. Curious if anyone actually disagrees.",discussion,"Ambiguous: 'let's settle this' is a discussion opener but body is mostly first-person opinion. Final line 'curious if anyone disagrees' functions as a you-statement. Labeled discussion per edge case rule."
"Let's talk about Charli XCX's BRAT era — how did it change the conversation around what pop can be?",discussion,
